Afghanistan;Kabul
Albania;Tirane
Algeria;Algiers
Andorra;Andorra la Vella
Angola;Luanda
Argentina;Buenos Aires
Armenia;Yerevan
Aruba;Oranjestad
Australia;Canberra
Austria;Vienna
Azerbaijan;Baku
Bahamas;Nassau
Bahrain;Manama
Bangladesh;Dhaka
Barbados;Bridgetown
Belarus;Minsk
Belgium;Brussels
Belize;Belmopan
Benin;Cotonou
Bhutan;Thimphu
Bolivia (Plurinational State of);Sucre
Bosnia and Herzegovina;Sarajevo
Botswana;Gaborone
Brazil;Brasilia
British Virgin Islands;Road Town
Brunei;Bandar Seri Begawan
Bulgaria;Sofia
Burkina Faso;Ouagadougou
Burundi;Bujumbura
Cambodia;Phnom Penh
Cameroon;Yaounde
Canada;Ottawa
Cape Verde;Praia
Cayman Islands;George Town
Central African Republic;Bangui
Chad;N'Djamena
Chile;Santiago
China;Beijing
Colombia;Bogota
Comros;Moroni
Congo;Brazzaville
Costa Rica;San Jose
Cote d'Ivoire;Yamoussoukro
Croatia;Zagreb
Cuba;Havana
Cyprus;Nicosia
Czech Republic;Prague
Democratic Republic of the Congo;Kinshasa
Denmark;Copenhagen
Djibouti;Djibouti
Dominica;Roseau
Dominica Republic;Santo Domingo
East Timor;Dili
Ecuador;Quito
Egypt;Cairo
El Salvador;San Salvador
Equatorial Guinea;Malabo
Eritrea;Asmara
Estonia;Tallinn
Ethiopia;Addis Ababa
Falkland Islands (Malvinas);Stanley
Faroe Islands;Torshavn
Fiji;Suva
Finland;Helsinki
France;Paris
French Guiana;Cayenne
French Polynesia;Papeete
Gabon;Libreville
Gambia;Banjul
Georgia;T'bilisi
Germany;Berlin
Ghana;Accra
Greece;Athens
Greenland;Nuuk
Guadeloupe;Basse-Terre
Guatemala;Guatemala
Guinea;Conakry
Guinea-Bissau;Bissau
Guyana;Georgetown
Haiti;Port-au-Prince
Honduras;Tegucigalpa
Hungary;Budapest
Iceland;Reykjavik
India;New Delhi
Indonesia;Jakarta
Iran (Islamic Republic of);Tehran
Iraq;Baghdad
Ireland;Dublin
Israel;Jerusalem
Italy;Rome
Jamaica;Kingston
Japan;Tokyo
Jordan;Amman
Kazakhstan;Astana
Kenya;Nairobi
Kuwait;Kuwait
Kyrgyzstan;Bishkek
Lao People's Democratic Republic;Vientiane
Latvia;Riga
Lebanon;Beirut
Lesotho;Maseru
Liberia;Monrovia
Libya;Tripoli
Liechtenstein;Vaduz
Lithuania;Vilnius
Luxembourg;Luxembourg
Macao, China;Macau
Madagascar;Antananarivo
Macedonia (Former Yugoslav Republic);Skopje
Malawi;Lilongwe
Malaysia;Kuala Lumpur
Maldives;Male
Mali;Bamako
Malta;Valletta
Martinique;Fort-de-France
Mauritania;Nouakchott
Mayotte;Mamoudzou
Mexico;Mexico
Micronesia (Federated States of);Palikir
Moldova, Republic of;Chisinau
Mongolia;Ulaanbaatar
Morocco;Rabat
Mozambique;Maputo
Myanmar;Yangon
Namibia;Windhoek
Nepal;Kathmandu
Netherlands;Amsterdam
Netherlands Antilles;Willemstad
New Caledonia;Noumea
New Zealand;Wellington
Nicaragua;Managua
Niger;Niamey
Nigeria;Abuja
Norfolk Island;Kingston
North Korea;Pyongyang
Northern Mariana Islands;Saipan
Norway;Oslo
Oman;Masqat
Pakistan;Islamabad
Palau;Koror
Panama;Panama
Papua New Guinea;Port Moresby
Paraguay;Asuncion
Peru;Lima
Philippines;Manila
Poland;Warsaw
Portugal;Lisbon
Puerto Rico;San Juan
Qatar;Doha
Republic of Korea;Seoul
Romania;Bucuresti
Russian Federation;Moskva
Rawanda;Kigali
Saint Kitts and Nevis;Basseterre
Saint Lucia;Castries
Saint Pierre and Miquelon;Saint-Pierre
Saint Vincent and the Greenadines;Kingstown
Samoa;Apia
San Marino;San Marino
Sao Tome and Principe;Sao Tome
Saudi Arabia;Riyadh
Senegal;Dakar
Sierra Leone;Freetown
Slovakia;Bratislava
Slovenia;Ljubljana
Solomon Islands;Honiara
Somalia;Mogadishu
South Africa;Pretoria
Spain;Madrid
Sudan;Khartoum
South Sudan;Djouba
Suriname;Paramaribo
Swaziland;Mbabane
Sweden;Stockholm
Switzerland;Bern
Syrian Arab Republic;Damascus
Tajikistan;Dushanbe
Thailand;Bangkok
Togo;Lome
Tonga;Nuku'alofa
Tunisia;Tunis
Turkey;Ankara
Turkmenistan;Ashgabat
Tuvalu;Funafuti
Uganda;Kampala
Ukraine;Kiev
United Arab Emirates;Abu Dhabi
United Kingdom;London
United Republic of Tanzania;Dodoma
United States of America;Washington DC
United States of Virgin Islands;Charlotte Amalie
Uruguay;Montevideo
Uzbekistan;Tashkent
Vanuatu;Port-Vila
Venezuela;Caracas
Viet Nam;Hanoi
Yemen;Sanaa
Yugoslavia;Belgrade
Zambia;Lusaka
Zimbabwe;Harare